index,error_type,question,answers_choices,ground_truth,prediction,raw_output
5,invalid_bia_dap_an,"Anh B thường xuyên phải di chuyển bằng ô tô cá nhân trong nội thành để làm việc. Hiểu rằng công nghệ đang ngày càng phát triển, anh quyết định tải ứng dụng VNeID để quản lý giấy tờ cá nhân một cách tiện lợi hơn. Một ngày, khi bị yêu cầu kiểm tra giấy phép lái xe, anh băn khoăn liệu việc xuất trình thông tin này qua ứng dụng VNeID có gặp rắc rối hoặc phải đối mặt với một khoản phạt nào không, nhất là trong bối cảnh các quy định đang ngày càng chặt chẽ?",A. Giao thông vận tải B. Thuế - phí - lệ phí C. Tài chính nhà nước D. Chứng khoán E. Bất động sản F. Văn hóa - xã hội,A. Giao thông vận tải,(invalid),Giao thông vận tải
7,chon_sai_dap_an_hop_le,"Ông B được giao nhiệm vụ thực hiện chiến dịch tuyên truyền nâng cao nhận thức về tác hại của rượu bia trong cộng đồng. Để đảm bảo thông điệp của ông tuân thủ quy định hiện hành, ông cần tìm hiểu xem nghị định mới nhất có liên quan đến việc hướng dẫn thi hành luật về giảm thiểu tác động tiêu cực của rượu bia là nghị định nào?",A. Giao thông vận tải B. Vi phạm hành chính C. Giáo dục D. Thể thao - y tế E. Bảo hiểm F. Lao động - tiền lương,B. Vi phạm hành chính,D. Thể thao - y tế,D
8,chon_sai_dap_an_hop_le,"Trong năm 2026, anh B, một thanh niên đến tuổi thực hiện nghĩa vụ quân sự, đang thắc mắc về lịch trình tuyển quân của quốc gia. Anh muốn biết liệu có phải trong năm đó, chính sách chỉ có một đợt tuyển chọn quân sự duy nhất được áp dụng trên toàn quốc hay không. Điều này sẽ ảnh hưởng như thế nào đến kế hoạch cá nhân và nghĩa vụ công dân của anh?",A. Quyền dân sự B. Dịch vụ pháp lý C. Vi phạm hành chính D. Bộ máy hành chính E. Thủ tục tố tụng F. Tài chính nhà nước,A. Quyền dân sự,D. Bộ máy hành chính,D
9,chon_sai_dap_an_hop_le,"Một người bạn trẻ vừa không đạt tiêu chuẩn trong lần khám sức khỏe nghĩa vụ quân sự năm trước, nhưng đột nhiên nhận được thông báo tái khám vào năm nay. Trong tình huống này, bạn trẻ cần tìm hiểu xem có những quy định hoặc điều kiện nào từ cơ quan chức năng có thể dẫn đến việc gọi khám lại nghĩa vụ quân sự hàng năm, và những yếu tố nào có thể ảnh hưởng đến sự thay đổi kết quả đánh giá sức khỏe qua từng năm?",A. Dịch vụ pháp lý B. Giáo dục C. Trách nhiệm hình sự D. Quyền dân sự E. Tài chính nhà nước F. Lĩnh vực khác,D. Quyền dân sự,F. Lĩnh vực khác,F. Lĩnh vực khác
16,invalid_bia_dap_an,"Một luật sư tên B đang tìm cách nâng cao kiến thức và kỹ năng trong lĩnh vực của mình để chuẩn bị cho những thách thức pháp lý mới. Anh ta nghe nói về một chương trình bồi dưỡng chuyên môn, nghiệp vụ dành cho các luật sư sẽ diễn ra đợt 11 năm 2025 tại TPHCM. Để tham gia, anh cần biết thông tin chi tiết về cách truy cập và tham gia chương trình này. Vậy, ông B nên tìm kiếm thông tin ở đâu để có thể tham gia chương trình một cách hiệu quả nhất?",A. Dịch vụ pháp lý B. Kế toán - kiểm toán C. Lao động - tiền lương D. Giao thông vận tải E. Bất động sản F. Công nghệ thông tin,A. Dịch vụ pháp lý,(invalid),G. Pháp lý
29,chon_sai_dap_an_hop_le,"Ông B đang quản lý một dự án xây dựng lớn và vừa hoàn tất quá trình lựa chọn nhà thầu. Luật pháp yêu cầu các thông tin liên quan đến quyết định này phải được công khai một cách minh bạch. Trong bối cảnh này, ông B cần biết rõ đơn vị hoặc cá nhân chịu trách nhiệm chính trong việc công bố thông tin và kết quả lựa chọn nhà thầu ra công chúng, để tuân thủ đúng quy định hiện hành. Ai là người hoặc tổ chức sẽ thực hiện việc đăng tải thông tin này?",A. Bộ máy hành chính B. Bảo hiểm C. Giao thông vận tải D. Kế toán - kiểm toán E. Đầu tư F. Xây dựng - đô thị,E. Đầu tư,F. Xây dựng - đô thị,F
36,chon_sai_dap_an_hop_le,"Đang sở hữu một doanh nghiệp nhỏ chuyên kinh doanh đồ chơi figure, chị Lan muốn làm mới bộ sưu tập của mình bằng cách phát triển các hình ảnh sản phẩm độc đáo. Chị nghe nói rằng vào năm 2025, có một công cụ hữu ích giúp thực hiện công việc này thông qua công nghệ AI. Với sự trợ giúp của công cụ cây bút kỹ thuật số nổi tiếng, ChatGPT, chị muốn biết các bước chi tiết để tạo ra những hình ảnh hộp đồ chơi figure một cách hiệu quả và thu hút người tiêu dùng. Vậy, quy trình thực hiện này gồm những bước cụ thể nào và cần lưu ý những điều quan trọng gì?",A. Kế toán - kiểm toán B. Lĩnh vực khác C. Sở hữu trí tuệ D. Thương mại E. Giao thông vận tải F. Trách nhiệm hình sự,C. Sở hữu trí tuệ,B. Lĩnh vực khác,B. Lĩnh vực khác
37,chon_sai_dap_an_hop_le,"Khi một thành phố lớn đang lên kế hoạch xây dựng một cây cầu mới nhằm cải thiện giao thông và kết nối các khu vực, nhóm quản lý dự án cần thực hiện việc theo dõi và kiểm tra tiến độ thực hiện một cách chặt chẽ. Điều này đòi hỏi nắm rõ các yếu tố cần giám sát, bao gồm tiến độ thi công, phân bổ ngân sách, và hiệu quả sử dụng nguồn lực. Như vậy, nội dung cần theo dõi và kiểm tra trong kế hoạch đầu tư cho công trình này sẽ bao gồm những gì cụ thể?",A. Đầu tư B. Vi phạm hành chính C. Tài nguyên - môi trường D. Thủ tục tố tụng E. Xuất nhập khẩu F. Giao thông vận tải,A. Đầu tư,F. Giao thông vận tải,F
43,chon_sai_dap_an_hop_le,"Một công ty bất động sản đang xem xét việc hỗ trợ khách hàng trong quá trình mua bán nhà đất. Đội ngũ pháp lý của họ nhận được thông tin về một công văn quan trọng, số 5553/KV2-TTRA, liên quan đến vấn đề tạm dừng dịch vụ cho vay đặt cọc. Điều này có ảnh hưởng như thế nào đến quy trình và quyền lợi của khách hàng khi thực hiện các giao dịch nhà ở thông qua dịch vụ tài chính không?",A. Bất động sản B. Tiền tệ ngân hàng C. Kế toán - kiểm toán D. Xây dựng - đô thị E. Văn hóa - xã hội F. Giáo dục,A. Bất động sản,B. Tiền tệ ngân hàng,B. Tiền tệ ngân hàng
46,chon_sai_dap_an_hop_le,"Khi công ty B tham gia đấu thầu một dự án lớn trong ngành xây dựng, hợp đồng hiện tại mà họ đã trình cho gói thầu gặp vấn đề không đáp ứng đúng yêu cầu kỹ thuật. Công ty đang xem xét việc thay thế bằng một tài liệu tương đương để đảm bảo đủ tiêu chuẩn dự thầu. Trong trường hợp này, công ty B cần tìm hiểu liệu họ có thể thực hiện việc thay thế hợp đồng đó và những điều kiện nào họ phải đáp ứng để được chấp thuận hợp pháp.",A. Vi phạm hành chính B. Quyền dân sự C. Thuế - phí - lệ phí D. Xuất nhập khẩu E. Đầu tư F. Doanh nghiệp,E. Đầu tư,B. Quyền dân sự,B
